,date,content
40,2022-10-19 18:12:59+00:00,"Telangana Agitator Dr @NarsaiahBoora Ji joined @BJP4India at BJP Hqtrs Delhi in the leadership of @bandisanjay_bjp Ji &amp; in the presence of @byadavbjp Ji, @tarunchughbjp Ji, @kishanreddybjp Ji, @drlaxmanbjp Ji, @aruna_dk Ji, @Eatala_Rajender &amp; @BJP4Telangana leaders.
@blsanthosh https://t.co/4UILY92jDy"
41,2022-10-19 18:12:05+00:00,"@DrJitendraSingh @narendramodi @narendramodi @AmitShah @JPNadda should listen to students voices which are crushed by @DrJitendraSingh by saying #UPSCExtraAttempt is not feasible.

Why it's not feasible?

Students will never let an arrogant MP cost them their dreams.
If it comes to Voting out BJP we'll do that"
42,2022-10-19 18:11:37+00:00,TN BJP https://t.co/ss2diHlflD
43,2022-10-19 18:11:00+00:00,"@mohakmangal What Can Expect Form You Little @abhiandniyu, Your Content Are Always Like Bjp Account Post..."
44,2022-10-19 18:10:54+00:00,@beingarun28 जिस BJP मे कभी अध्यक्ष का चुनाव नहीं होता उनके पेट में दर्द क्यु है ?
45,2022-10-19 18:10:25+00:00,"@BJP4India bjp ka karyakarta bjp ko vote desh ke liye kaam karne ke liye deta hai ,aise dhongi,nakli babaon ka support karne ke liye nahi.. https://t.co/HuAH5uTZom"
46,2022-10-19 18:09:39+00:00,Difference between congress president &amp; BJP president https://t.co/KmGaiSc3Bk
47,2022-10-19 18:08:01+00:00,@sandeepfromvns @tarunchughbjp @narendramodi @AmitShah @JPNadda @myogiadityanath @BJP4India @BJP4UP May you have a blessed Diwali!
48,2022-10-19 18:07:51+00:00,@AamAadmiParty @narendramodi @BJP4India https://t.co/TJqcBCgWWR
49,2022-10-19 18:07:36+00:00,@AAPHimachal_ @BJP4India @ArvindKejriwal स https://t.co/XCzuEtDFJ2
50,2022-10-19 18:05:23+00:00,"Only in the #Maharashtra elections did Congress score a cheaper deal when it paid 38,124 rupees to the BJP’s 43,482 rupees per million views."
51,2022-10-19 18:05:22+00:00,"The #AamAadmiParty (AAP), the winner of the Delhi elections and another contender to the BJP, was charged the highest at 64,173 rupees per million views, 80% more than what the BJP paid."
52,2022-10-19 18:05:21+00:00,"In the 2020 Delhi assembly elections campaign, Congress and its candidates paid Facebook 39,909 rupees on average per million views, but the BJP paid only 35,596 rupees."
53,2022-10-19 18:05:19+00:00,"On average, FB charged the BJP, its candidates and affiliated organisations 41,844 rupees to show an ad 1 million times. But the main opposition party, INC, its candidates and affiliated organisations had to pay 53,776 rupees nearly 29% more—for the same number of views."
54,2022-10-19 18:05:18+00:00,"#Thread 
Facebook’s algorithm offers cheaper advertisement deals to Bharatiya Janata Party (BJP) over other political parties. https://t.co/hWzlEHwmyo"
55,2022-10-19 18:05:03+00:00,@ashutoshss Ye bjp ki baat kar rhe hai
56,2022-10-19 18:03:55+00:00,@A_G951 @narne_kumar06 Karnataka is next year ... if bjp can win himachal then karnataka is easy.
57,2022-10-19 18:00:57+00:00,@sandeepfromvns @tarunchughbjp @narendramodi @AmitShah @JPNadda @myogiadityanath @BJP4India @BJP4UP जय हो ❤️
58,2022-10-19 18:00:54+00:00,@sandeepfromvns @tarunchughbjp @narendramodi @AmitShah @JPNadda @myogiadityanath @BJP4India @BJP4UP Happy Deepawali
59,2022-10-19 18:00:44+00:00,@sandeepfromvns @tarunchughbjp @narendramodi @AmitShah @JPNadda @myogiadityanath @BJP4India @BJP4UP #जय_श्री_राम‌‌ 🚩
60,2022-10-19 18:00:42+00:00,@sandeepfromvns @tarunchughbjp @narendramodi @AmitShah @JPNadda @myogiadityanath @BJP4India @BJP4UP Excellent Sandeep ji
61,2022-10-19 18:00:28+00:00,"@TheRajanMishr @NirajTr63827995 @BJP4India @JPNadda @RSSorg @KapilMishra_IND @BJP4Bihar Bigots like these must find Muslims willing to critically discuss their practices

He must explain cause of much higher successful marriage ratio in Hindus without child marriage, polygamy or halala

Ms tax contribution of 0.1% against 800% share in govt benfits ?

Jai Shree Ram"
62,2022-10-19 18:00:14+00:00,"@TV9UttarPradesh @Aamitabh2 @kharge @ShashiTharoor @INCIndia @RahulGandhi @priyankagandhi @BJP4India असर तो कांग्रेस पर भी नहीं पड़ेगा
क्योंकि पार्टी तो बची नहीं है
परिवार बचाने के लिये ये सब ड्रामा हो रहा है"
63,2022-10-19 17:59:56+00:00,"@KapilMishra_IND @proud_indian01 Abe bhaag na yahan se, teri sun kaun raha hai? Na tujhe bjp mein koi poochta, khud kutte ki tarah vhat ta rehta hai bjp walon ki."
64,2022-10-19 17:59:48+00:00,Koi kar kuch bhi le 2024 to @bjp hi jeet rhi hai Q ki congress ka pm candidate youth ki choice nhi hai https://t.co/F0WvYaEhEx
65,2022-10-19 17:59:33+00:00,"Every time Lalan Paswan, the BJP MLA from Pirpainti of Bhagalpur, issued a clarification, it aggravated the PR disaster further  https://t.co/pjSEEd4Mcq"
66,2022-10-19 17:59:00+00:00,@HubliHescom @CMofKarnataka @karkalasunil @BJP4India @Hubballi_Infra Thank you so much we all are looking forward of this is the case 🙏🏻
67,2022-10-19 17:58:48+00:00,"पंजाब यूनिवर्सिटी में फहराया AAP का परचम, 

पंजाब विश्वविद्यालय छात्र संघ के अध्यक्ष पद के चुनाव में AAP ने BJP को हराया।
 
CYSS (AAP) - 2471 
ABVP (BJP) -  1763
NSUI (INC)-   1279
SOI    (SAD)-  1135 https://t.co/uikk8cywjK"
68,2022-10-19 17:57:59+00:00,"EOW arrests two in &lt;span class='webrupee'&gt;₹&lt;/span&gt;58 crore cheating case
@dir_ed
@FinMinIndia
@CMOMaharashtra
@AmitShah
@cbic_india
@narendramodi
@dir_ed
@NIA_India
@IndiaToday
@aajtak
@BJP4India
@BranchMumbai
 https://t.co/ZDnvQAtdcE"
69,2022-10-19 17:57:35+00:00,@AnkitRao111 @AamAadmiParty @narendramodi @BJP4India @INCIndia अंध भक्त गलती तेरी नही है ।
70,2022-10-19 17:57:34+00:00,@ipathak25 Har waqt bjp ko gaali dene ke jagah kuch kaam karke dikhate to acha lagta
71,2022-10-19 17:56:44+00:00,Udit Raj ji aapnahin hai na bjp mein nahin to aap karwa dete chunav https://t.co/X7LvOi6nCI
72,2022-10-19 17:55:07+00:00,@AAPNareshBalyan @Pun_Starr Balyan saabh aap to rehne dijiye. Bjp se congress se aap Aur ab karte ho paa waa re aap
73,2022-10-19 17:52:51+00:00,@ippatel Thanks to our super tolerant  @BJP4India
74,2022-10-19 17:52:04+00:00,"कांग्रेस का अध्यक्ष लोकतांत्रिक तरीके से चुना गया। फर्जी राष्ट्रवादी पार्टी @BJP4India का अध्यक्ष कब बंद कमरों के बाहर चुना जायेगा ?
@DeependerSHooda 
@TeamDeepender 
@BhupinderShooda 
@SupriyaShrinate 
@Pawankhera 
@INCUdaiBhan 
@INCIndiaLive https://t.co/FNuoWhCp99"
75,2022-10-19 17:51:31+00:00,"17 साल में दिल्ली को कूड़े का ढेर बनाने के बाद BJP को कूड़ा याद आया।

गृहमंत्री Amit Shah जी चुनाव के समय फ़र्ज़ी उद्घाटनों से कुछ नहीं होगा

हम दिखाएंगे BJP ने कैसे 3 कूड़े के पहाड़ बनाए और 16 पहाड़ बनाने की तैयारी में है

आप ज़रूर आइएगा 
कल सुबह आपका इंतज़ार रहेगा

-@ipathak25 https://t.co/tx0cQ09Yu9"
