,date,content
100,2022-10-19 16:35:57+00:00,"@narendramodi सादर प्रणाम करते हैं 💐💐🙏🙏🙏
ओनली Modi 💐💐🚩🚩🙏🙏
ओनली bjp 💐💐🚩🚩🙏🙏"
101,2022-10-19 16:34:49+00:00,@priyankaMP_BBK @BJP4India @PurandeswariBJP @narendramodi @AmitShah @JPNadda @myogiadityanath @sunilbansalbjp @dpradhanbjp @RadhamohanBJP @BJP4UP @RSSorg @PMOIndia बहुत-बहुत हार्दिक बधाई माननीय महामंत्री उत्तर प्रदेश महोदया जी
102,2022-10-19 16:33:50+00:00,@AamAadmiParty @narendramodi @BJP4India https://t.co/OKstb38mbp
103,2022-10-19 16:33:46+00:00,@narendramodi ओनली Modi ओनली bjp 💐🙏🚩
104,2022-10-19 16:31:31+00:00,"Isey kehte hain ghar mein ghuskar maarna... 😂🤣

Nagpur Panchayat elections:

INC : 9
NCP : 3
SS : 1
BJP : 0"
105,2022-10-19 16:31:15+00:00,"पद तो नया मिला है लेकिन अदतिया तो यही रहेगी। मालकिन के चरणामृत के बाद पप्पू पेय से दिन की शुरुआत होगी। हिमांचल और गुजरात के चुनाव में मिलने वाली हार की जिम्मेदारी डालकर खेसरी की तरह दरवाजे से बाहर लोका दिया जाएगा। 😁😁😁
#कांग्रेस हाय तुम्हारी यही कहानी
वन्देमातरम
@BJP4India https://t.co/yqQV4vGcLo"
106,2022-10-19 16:29:27+00:00,"बिहार के भागलपुर से BJP MLA ललन पासवान बोले-
""मुसलमान लक्ष्मी की पूजा नहीं करते, तो क्या वे अमीर नहीं होते""
""मुसलमान सरस्वती की पूजा नही करते तो क्या बुद्धिमान नही होते"" https://t.co/BwRzlOvdHT"
107,2022-10-19 16:28:29+00:00,"""मुसलमान लक्ष्मी की पूजा नहीं करते, तो क्या वे अमीर नहीं होते""

◆ बिहार के भागलपुर से BJP MLA ललन पासवान https://t.co/NHTt3s5QGG"
108,2022-10-19 16:28:26+00:00,"I'm 100% sure that all congress votes will shift to #AAP till the last day of the elections.! 
Everyone has realised now that voting for #CongRSS is equals to voting for #BJP"
109,2022-10-19 16:26:19+00:00,@AAPNareshBalyan @ppbajpai नरेश जी गूगल पे वाला नंबर दीजिए अपना आपको 2 रुपए भेजना है।। Be team of BJP and RSS।।।।।।
110,2022-10-19 16:26:13+00:00,भानपुर नगर पंचायत क्षेत्र के विभिन्न गांव में जन संपर्क करके जनता जनार्दन का आशीर्वाद प्राप्त किया। @HarishD_BJP https://t.co/p6URYCeWuM
111,2022-10-19 16:26:01+00:00,@vishnuBjp7800 @ravikishann @sarthakgkp @PannelalPaswan6 @OfcRavikishann @durgeshbajaj2 @FatehBrSingh @_Rajkumar_BJP शानदार भाई
