,date,content
48,2022-10-19 15:06:50+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
49,2022-10-19 15:06:46+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/AGZWYDj8c5"
50,2022-10-19 15:06:35+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
51,2022-10-19 15:06:31+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/VYngyafXFS"
52,2022-10-19 15:06:25+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
53,2022-10-19 15:06:20+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/luHtNhSDGV"
54,2022-10-19 15:06:10+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
55,2022-10-19 15:06:04+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/rMr3Nho3Gu"
56,2022-10-19 15:00:06+00:00,"आज सुरखी विधानसभा के ग्राम सीहोरा में मुख्यमंत्री जन सेवा अभियान के अंतर्गत कार्यक्रम में सम्मिलित हुआ एवं ग्राम पंचायत सीहोरा ग्राम में करोड़ों की विकास कार्यों का भूमिपूजन एवं लोकार्पण किया।
@BJP4MP 
@BJP4India 
@ChouhanShivraj 
@vdsharmabjp 
@HitanandSharma https://t.co/aEz54YJEdN"
57,2022-10-19 14:59:36+00:00,"भारतीय जनता पार्टी मध्य प्रदेश के यशस्वी प्रदेश अध्यक्ष माननीय श्री विष्णु दत्त जी शर्मा को केंद्र सरकार की विदेशी मामलों की संसदीय कमेटी मैं शामिल किए जाने पर हार्दिक बधाई एवं शुभकामनाएं
@BJP4India
@vdsharmabjp 
@BJP4MP https://t.co/OZQHnCC9qD"
58,2022-10-19 14:58:56+00:00,"बैठक में जनसेवा अभियान में प्राप्त आवेदनों की स्थिति की समीक्षा की। शत प्रतिशत और पात्र आवेदनों का निराकरण कर आम जनता को सरकार की योजनाओं से लाभ दिये जाने के निर्देश दिए।

@BJP4MP @BJP4India @ChouhanShivraj @vdsharmabjp @JansamparkMP @jdhoshangabad @dmhoshangabad @HitanandSharma https://t.co/t1Wex9rJDC"
59,2022-10-19 14:57:11+00:00,"जनजातीय बाहुल्य 46 नगरीय निकायों में से 31 (67.39%) निकायों में अध्यक्ष पद पर भी एक बार फिर भाजपा की प्रचण्ड विजय।
सभी नवनिर्वाचित अध्यक्ष को हार्दिक बधाई एवं शुभकामनाएं। 
@BJP4India 
@BJP4MP 
@ChouhanShivraj 
@vdsharmabjp 
@vaibhavpawarmp 

#हर_परिषद_भाजपा https://t.co/Qa21qm84XN"
60,2022-10-19 14:49:39+00:00,@ItsRizwan72 @Alihadi1472 Aap aur BJP Ek Sikke Ke Do pahlu hai
61,2022-10-19 14:42:26+00:00,जो सरकार खुद नशे में है वो क्‍या नशाबंदी करेगी… जबलपुर में कमलनाथ का BJP पर तंज https://t.co/NBWMBPSqDa
62,2022-10-19 14:37:19+00:00,"बर्दास्त से बाहर 😡😡😡 
@BJP4India 
@narendramodi 
@TheDeepak2022 @AMISHDEVGAN 
@AmitShah @KapilMishra_IND https://t.co/3d7L0flkzP"
63,2022-10-19 14:35:14+00:00,@bjpanilfirojiya @PMOIndia @CMMadhyaPradesh @BJP4India @BJP4MP @narendramodi @JansamparkMP @JPNadda @vdsharmabjp @AmitShah @ChouhanShivraj @HitanandSharma @PMuralidharRao संकल्प से सफलता
64,2022-10-19 14:34:44+00:00,"आज एक बार फिर डॉलर मजबूत होकर 83 रुपये के ऊपर चला गया हैं | मोदी सरकार को बिल्कुल चिंता इसलिए नहीं है , क्योंंकि रुपया कमजोर नहीं हो रहा हैं !
@INCIndia 
@nsitharaman 
@BJP4India
@SupriyaShrinate"
65,2022-10-19 14:26:58+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
66,2022-10-19 14:26:52+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/0ZrfGcIdSt"
